Ticker,Name,Weight,Shares,Price
BF/B UN Equity,Brown-Forman Corp,--,--,47.44
COG UN Equity,Cabot Oil & Gas Corp,--,--,25.8
CCL UN Equity,Carnival Corp,--,--,48.82
LUMN UN Equity,Lumen Technologies Inc,--,--,27.43
VG UN Equity,Vonage Holdings Corp,--,--,6.61
FTRCQ UW Equity,Frontier Communications Corp,--,--,4.16
CLF UN Equity,Cleveland-Cliffs Inc,--,--,5.85
CLX UN Equity,Clorox Co/The,--,--,125.18
CMS UN Equity,CMS Energy Corp,--,--,42.01
CHFN UR Equity,Charter Financial Corp/MD,--,--,12.88
CL UN Equity,Colgate-Palmolive Co,--,--,74.14
CMA UN Equity,Comerica Inc,--,--,47.32
CA UW Equity,CA Inc,--,--,33.08
ARII UW Equity,American Railcar Industries Inc,--,--,41.47
ORCL UN Equity,Oracle Corp,--,--,39.28
CSC UN Equity,Computer Sciences Corp,--,--,52.21
CAG UN Equity,Conagra Brands Inc,--,--,47.11
ED UN Equity,Consolidated Edison Inc,--,--,75.3
SQBG UR Equity,Sequential Brands Group Inc,--,--,8
GLW UN Equity,Corning Inc,--,--,23.65
CMI UN Equity,Cummins Inc,--,--,128.15
DHR UN Equity,Danaher Corp,--,--,78.39
TGT UN Equity,Target Corp,--,--,68.68
DE UN Equity,Deere & Co,--,--,85.35
D UN Equity,Dominion Energy Inc,--,--,74.27
SBRA UW Equity,Sabra Health Care REIT Inc,--,--,25.18
CDXS UW Equity,Codexis Inc,--,--,4.44
DOV UN Equity,Dover Corp,--,--,73.64
1697067D UN Equity,Dow Chemical Co/The,--,--,51.83
TIER UN Equity,Tier REIT Inc,--,--,15.44
DUK UN Equity,Duke Energy Corp,--,--,80.04
NMIH UQ Equity,NMI Holdings Inc,--,--,7.62
ETN UN Equity,Eaton Corp PLC,--,--,65.71
PKI UN Equity,PerkinElmer Inc,--,--,56.11
STOR UN Equity,STORE Capital Corp,--,--,29.47
NNI UN Equity,Nelnet Inc,--,--,40.37
EMR UN Equity,Emerson Electric Co,--,--,54.51
EOG UN Equity,EOG Resources Inc,--,--,96.71
SAIA UW Equity,Saia Inc,--,--,29.96
ETR UN Equity,Entergy Corp,--,--,76.73
ECYT UW Equity,Endocyte Inc,--,--,3.09
EQT UN Equity,EQT Corp,--,--,72.62
WLK UN Equity,Westlake Chemical Corp,--,--,53.5
1831877D UN Equity,XL Group Ltd,--,--,33.63
ESGR UW Equity,Enstar Group Ltd,--,--,164.47
GTS UN Equity,Triple-S Management Corp,--,--,21.93
M UN Equity,Macy's Inc,--,--,37.05
ENH UN Equity,Sompo International Holdings Ltd,--,--,65.45
FMC UN Equity,FMC Corp,--,--,48.34
F UN Equity,Ford Motor Co,--,--,12.07
TRI UN Equity,Thomson Reuters Corp,--,--,41.38
NEE UN Equity,NextEra Energy Inc,--,--,122.32
BEN UN Equity,Franklin Resources Inc,--,--,35.57
ACTG UW Equity,Acacia Research Corp,--,--,6.52
FCX UN Equity,Freeport-McMoRan Inc,--,--,10.86
TGNA UN Equity,TEGNA Inc,--,--,21.86
GPS UN Equity,Gap Inc/The,--,--,22.24
GD UN Equity,General Dynamics Corp,--,--,155.16
NPTN UN Equity,NeoPhotonics Corp,--,--,16.34
RM UN Equity,Regional Management Corp,--,--,21.65
GPC UN Equity,Genuine Parts Co,--,--,100.45
VCRA UN Equity,Vocera Communications Inc,--,--,16.9
BKS UN Equity,Barnes & Noble Inc,--,--,11.3
HAL UN Equity,Halliburton Co,--,--,44.88
NEOS UQ Equity,Neos Therapeutics Inc,--,--,6.58
AHT UN Equity,Ashford Hospitality Trust Inc,--,--,5.89
HAR UN Equity,Harman International Industries Inc,--,--,84.45
JOY UN Equity,Komatsu Mining Corp,--,--,27.74
GOOD UW Equity,Gladstone Commercial Corp,--,--,18.63
LHX UN Equity,L3Harris Technologies Inc,--,--,91.61
PEAK UN Equity,Healthpeak Properties Inc,--,--,37.95
HP UN Equity,Helmerich & Payne Inc,--,--,67.3
ITC UN Equity,ITC Holdings Corp,--,--,46.48
ALNY UW Equity,Alnylam Pharmaceuticals Inc,--,--,67.78
HRL UN Equity,Hormel Foods Corp,--,--,37.93
EVH UN Equity,Evolent Health Inc,--,--,24.62
CNP UN Equity,CenterPoint Energy Inc,--,--,23.23
HUM UN Equity,Humana Inc,--,--,176.89
TT UN Equity,Trane Technologies PLC,--,--,67.94
MRLN UW Equity,Marlin Business Services Corp,--,--,19.38
J UN Equity,Jacobs Engineering Group Inc,--,--,51.72
NWSA UW Equity,News Corp,--,--,13.98
1868223D UR Equity,Ignyta Inc,--,--,6.29
FPO UN Equity,First Potomac Realty Trust,--,--,9.15
K UN Equity,Kellogg Co,--,--,77.47
KMB UN Equity,Kimberly-Clark Corp,--,--,126.14
CONN UW Equity,Conn's Inc,--,--,10.32
KIM UN Equity,Kimco Realty Corp,--,--,28.95
KSS UN Equity,Kohl's Corp,--,--,43.75
WIFI UW Equity,Boingo Wireless Inc,--,--,10.28
LM UN Equity,Legg Mason Inc,--,--,33.48
CSBK UW Equity,Clifton Bancorp Inc,--,--,15.29
LEN UN Equity,Lennar Corp,--,--,42.34
TOWN UW Equity,Towne Bank/Portsmouth VA,--,--,24.03
JEF UN Equity,Jefferies Financial Group Inc,--,--,19.04
ABTX UQ Equity,Allegiance Bancshares Inc,--,--,27
LB UN Equity,L Brands Inc,--,--,70.77
LNC UN Equity,Lincoln National Corp,--,--,46.98
L UN Equity,Loews Corp,--,--,41.15
KRO UN Equity,Kronos Worldwide Inc,--,--,8.29
HST UN Equity,Host Hotels & Resorts Inc,--,--,15.57
AAIC UN Equity,Arlington Asset Investment Corp,--,--,14.79
MAS UN Equity,Masco Corp,--,--,34.31
MDT UN Equity,Medtronic PLC,--,--,86.4
CVS UN Equity,CVS Health Corp,--,--,88.99
MU UW Equity,Micron Technology Inc,--,--,17.78
FRME UW Equity,First Merchants Corp,--,--,26.75
MCHX UW Equity,Marchex Inc,--,--,2.77
MSI UN Equity,Motorola Solutions Inc,--,--,76.28
MUR UN Equity,Murphy Oil Corp,--,--,30.4
MYL UW Equity,Mylan NV,--,--,38.12
LH UN Equity,Laboratory Corp of America Holdings,--,--,137.48
HMTV UQ Equity,Hemisphere Media Group Inc,--,--,12.75
HTH UN Equity,Hilltop Holdings Inc,--,--,22.46
NEM UN Equity,Newmont Corp,--,--,39.29
TFCFA UW Equity,TFCF Corp,--,--,24.22
EXAR UN Equity,Exar Corp,--,--,9.31
NI UN Equity,NiSource Inc,--,--,24.11
1556442D UA Equity,GigPeak Inc,--,--,2.35
NBL UN Equity,Noble Energy Inc,--,--,35.74
TXMD UA Equity,TherapeuticsMD Inc,--,--,6.81
NSC UN Equity,Norfolk Southern Corp,--,--,97.06
ES UN Equity,Eversource Energy,--,--,54.18
RCKT UQ Equity,Rocket Pharmaceuticals Inc,--,--,9.48
WFC UN Equity,Wells Fargo & Co,--,--,44.28
NUE UN Equity,Nucor Corp,--,--,49.45
OXY UN Equity,Occidental Petroleum Corp,--,--,72.92
PCG UN Equity,PG&E Corp,--,--,61.17
PH UN Equity,Parker-Hannifin Corp,--,--,125.53
PPL UN Equity,PPL Corp,--,--,34.57
CPPRQ UN Equity,Old Copper Co Inc,--,--,9.22
PSGLQ UN Equity,Old PSG Wind-Down Ltd,--,--,4.06
PEP UN Equity,PepsiCo Inc,--,--,108.77
CCS UN Equity,Century Communities Inc,--,--,21.51
EXC UN Equity,Exelon Corp,--,--,33.29
MR UN Equity,Montage Resources Corp,--,--,3.29
COP UN Equity,ConocoPhillips,--,--,43.47
PHM UN Equity,PulteGroup Inc,--,--,20.04
PNW UN Equity,Pinnacle West Capital Corp,--,--,75.99
UCTT UW Equity,Ultra Clean Holdings Inc,--,--,7.41
PNC UN Equity,PNC Financial Services Group Inc/The,--,--,90.09
LPG UN Equity,Dorian LPG Ltd,--,--,6
VRTS UW Equity,Virtus Investment Partners Inc,--,--,97.86
PX UN Equity,Linde Inc/CT,--,--,120.83
WRB UN Equity,W R Berkley Corp,--,--,57.76
PGR UN Equity,Progressive Corp/The,--,--,31.5
PEG UN Equity,Public Service Enterprise Group Inc,--,--,41.87
RTN UN Equity,Raytheon Co,--,--,136.13
RDC UN Equity,Rowan Cos Ltd,--,--,15.16
R UN Equity,Ryder System Inc,--,--,65.95
SCG UN Equity,SCANA Corp,--,--,72.37
FNWB UQ Equity,First Northwest Bancorp,--,--,13.49
EIX UN Equity,Edison International,--,--,72.25
DWSN UW Equity,Dawson Geophysical Co,--,--,7.63
SLB UN Equity,Schlumberger NV,--,--,78.64
SCHW UN Equity,Charles Schwab Corp/The,--,--,31.57
SJM UN Equity,J M Smucker Co/The,--,--,135.54
SNA UN Equity,Snap-on Inc,--,--,151.96
SO UN Equity,Southern Co/The,--,--,51.3
TFC UN Equity,Truist Financial Corp,--,--,37.72
SWK UN Equity,Stanley Black & Decker Inc,--,--,122.98
STI UN Equity,SunTrust Banks Inc,--,--,43.8
SVU UN Equity,SUPERVALU Inc,--,--,4.99
LRN UN Equity,Stride Inc,--,--,14.35
AMRC UN Equity,Ameresco Inc,--,--,5.26
TER UN Equity,Teradyne Inc,--,--,21.58
ANDV UN Equity,Andeavor,--,--,79.56
TXT UN Equity,Textron Inc,--,--,39.75
TMO UN Equity,Thermo Fisher Scientific Inc,--,--,159.06
TIF UN Equity,Tiffany & Co,--,--,72.63
GL UN Equity,Globe Life Inc,--,--,63.89
JCI UN Equity,Johnson Controls International plc,--,--,46.53
UNP UN Equity,Union Pacific Corp,--,--,97.53
UNM UN Equity,Unum Group,--,--,35.31
MRO UN Equity,Marathon Oil Corp,--,--,15.81
X UN Equity,United States Steel Corp,--,--,18.86
VTR UN Equity,Ventas Inc,--,--,70.63
VNO UN Equity,Vornado Realty Trust,--,--,101.21
VMC UN Equity,Vulcan Materials Co,--,--,113.73
PGRE UN Equity,Paramount Group Inc,--,--,16.39
GHC UN Equity,Graham Holdings Co,--,--,481.37
JAX UN Equity,J Alexander's Holdings Inc,--,--,10.13
WY UN Equity,Weyerhaeuser Co,--,--,31.94
IDRA UR Equity,Idera Pharmaceuticals Inc,--,--,2.56
WHR UN Equity,Whirlpool Corp,--,--,162.16
WMB UN Equity,Williams Cos Inc/The,--,--,30.73
BCC UN Equity,Boise Cascade Co,--,--,25.4
WEC UN Equity,WEC Energy Group Inc,--,--,59.88
KTWO UW Equity,K2M Group Holdings Inc,--,--,17.78
AES UN Equity,AES Corp/The,--,--,12.85
PPC UW Equity,Pilgrim's Pride Corp,--,--,21.12
MOD UN Equity,Modine Manufacturing Co,--,--,11.86
AAPL UW Equity,Apple Inc,--,--,113.05
ADSK UW Equity,Autodesk Inc,--,--,72.33
CMCSA UW Equity,Comcast Corp,--,--,66.34
TAP UN Equity,Molson Coors Beverage Co,--,--,109.8
PMTS UW Equity,CPI Card Group Inc,--,--,6.04
LE UR Equity,Lands' End Inc,--,--,14.5
MNTA UW Equity,Momenta Pharmaceuticals Inc,--,--,11.69
PCAR UW Equity,PACCAR Inc,--,--,58.78
VBTX UQ Equity,Veritex Holdings Inc,--,--,17.39
RXN UN Equity,Rexnord Corp,--,--,21.41
STJ UN Equity,St Jude Medical Inc,--,--,79.76
ERIE UW Equity,Erie Indemnity Co,--,--,102.07
TSN UN Equity,Tyson Foods Inc,--,--,74.67
9745633D UN Equity,TCF Financial Corp/DE,--,--,14.51
BF/A UN Equity,Brown-Forman Corp,--,--,49.75
AMAT UW Equity,Applied Materials Inc,--,--,30.15
BXS UN Equity,BancorpSouth Bank,--,--,23.2
TWX UN Equity,Time Warner Inc,--,--,79.61
WBA UW Equity,Walgreens Boots Alliance Inc,--,--,80.62
BBBY UW Equity,Bed Bath & Beyond Inc,--,--,43.11
CBSH UW Equity,Commerce Bancshares Inc/MO,--,--,49.26
MUSA UN Equity,Murphy USA Inc,--,--,71.36
CAH UN Equity,Cardinal Health Inc,--,--,77.7
CINF UW Equity,Cincinnati Financial Corp,--,--,75.42
TRMK UW Equity,Trustmark Corp,--,--,27.56
UMBF UW Equity,UMB Financial Corp,--,--,59.45
DHI UN Equity,DR Horton Inc,--,--,30.2
FLS UN Equity,Flowserve Corp,--,--,48.24
VLY UN Equity,Valley National Bancorp,--,--,9.73
ATGE UN Equity,Adtalem Global Education Inc,--,--,23.06
WABC UW Equity,Westamerica BanCorp,--,--,50.88
ESRX UW Equity,Evernorth Health Inc,--,--,70.53
EXPD UW Equity,Expeditors International of Washington I,--,--,51.52
TCBI UW Equity,Texas Capital Bancshares Inc,--,--,54.92
MTB UN Equity,M&T Bank Corp,--,--,116.1
PACW UW Equity,PacWest Bancorp,--,--,42.91
CNOB UW Equity,ConnectOne Bancorp Inc,--,--,18.06
FITB UW Equity,Fifth Third Bancorp,--,--,20.46
WKHS UR Equity,Workhorse Group Inc,--,--,7.24
FHN UN Equity,First Horizon Corp,--,--,15.23
TUESQ UW Equity,Tuesday Morning Corp,--,--,5.98
CSX UW Equity,CSX Corp,--,--,30.5
HBAN UW Equity,Huntington Bancshares Inc/OH,--,--,9.86
FMBH UQ Equity,First Mid Bancshares Inc,--,--,27.26
BSIG UN Equity,Brightsphere Investment Group Inc,--,--,13.91
WELL UN Equity,Welltower Inc,--,--,74.77
LLTC UW Equity,Linear Technology Corp,--,--,59.29
RRC UN Equity,Range Resources Corp,--,--,38.75
NBR UN Equity,Nabors Industries Ltd,--,--,12.16
NEBLQ UN Equity,Noble Corp plc,--,--,6.34
NTRS UW Equity,Northern Trust Corp,--,--,67.99
PBCT UW Equity,People's United Financial Inc,--,--,15.82
QCOM UW Equity,QUALCOMM Inc,--,--,68.5
ROP UN Equity,Roper Technologies Inc,--,--,182.47
AN UN Equity,AutoNation Inc,--,--,48.71
KEY UN Equity,KeyCorp,--,--,12.17
CNO UN Equity,CNO Financial Group Inc,--,--,15.27
SPLS UW Equity,Staples Inc,--,--,8.55
STT UN Equity,State Street Corp,--,--,69.63
USB UN Equity,US Bancorp,--,--,42.89
AMC UN Equity,AMC Entertainment Holdings Inc,--,--,31.09
NLOK UW Equity,NortonLifeLock Inc,--,--,25.1
TROW UW Equity,T Rowe Price Group Inc,--,--,66.5
WM UN Equity,Waste Management Inc,--,--,63.76
GLOG UN Equity,GasLog Ltd,--,--,14.55
ADI UW Equity,Analog Devices Inc,--,--,64.45
AGN UN Equity,Allergan PLC,--,--,230.31
IMH UA Equity,Impac Mortgage Holdings Inc,--,--,13.19
WFM UW Equity,Whole Foods Market Inc,--,--,28.35
RUN UW Equity,Sunrun Inc,--,--,6.3
XLNX UW Equity,Xilinx Inc,--,--,54.34
XRAY UW Equity,DENTSPLY SIRONA Inc,--,--,59.43
ZION UW Equity,Zions Bancorp NA,--,--,31.02
DNRCQ UN Equity,Denbury Inc,--,--,3.23
IVZ UN Equity,Invesco Ltd,--,--,31.27
MS UN Equity,Morgan Stanley,--,--,32.06
CB UN Equity,Chubb Ltd,--,--,125.65
NVEE UR Equity,NV5 Global Inc,--,--,32.31
CHKAQ UN Equity,Chesapeake Energy Corp,--,--,6.27
JBL UN Equity,Jabil Inc,--,--,21.82
ALL UN Equity,Allstate Corp/The,--,--,69.18
FLIR UW Equity,FLIR Systems Inc,--,--,31.42
EQR UN Equity,Equity Residential,--,--,64.33
BATRA UW Equity,Liberty Media Corp-Liberty Braves,--,--,17.45
BWA UN Equity,BorgWarner Inc,--,--,35.18
BATRK UW Equity,Liberty Media Corp-Liberty Braves,--,--,17.38
NFX UN Equity,Ovintiv Exploration Inc,--,--,43.46
HURN UW Equity,Huron Consulting Group Inc,--,--,59.76
LSXMA UW Equity,Liberty Media Corp-Liberty SiriusXM,--,--,33.98
VIAV UW Equity,Viavi Solutions Inc,--,--,7.39
LSXMK UW Equity,Liberty Media Corp-Liberty SiriusXM,--,--,33.41
URBN UW Equity,Urban Outfitters Inc,--,--,34.52
SPG UN Equity,Simon Property Group Inc,--,--,207.01
EMN UN Equity,Eastman Chemical Co,--,--,67.68
CRS UN Equity,Carpenter Technology Corp,--,--,41.26
AVB UN Equity,AvalonBay Communities Inc,--,--,177.84
CY UW Equity,Cypress Semiconductor Corp,--,--,12.16
PRU UN Equity,Prudential Financial Inc,--,--,81.65
JOE UN Equity,St Joe Co/The,--,--,18.38
PKDSQ UN Equity,Parker Drilling Co,--,--,2.17
AIV UN Equity,Apartment Investment and Management Co,--,--,45.91
UHS UN Equity,Universal Health Services Inc,--,--,123.22
APOL UW Equity,Apollo Education Group Inc,--,--,7.95
AGCO UN Equity,AGCO Corp,--,--,49.32
SWKS UW Equity,Skyworks Solutions Inc,--,--,76.14
DFODQ UN Equity,Dean Foods Co,--,--,16.4
FWONA UW Equity,Liberty Media Corp-Liberty Formula One,--,--,28.65
HFC UN Equity,HollyFrontier Corp,--,--,24.5
FWONK UW Equity,Liberty Media Corp-Liberty Formula One,--,--,28.14
COF UN Equity,Capital One Financial Corp,--,--,71.83
TREC UN Equity,Trecora Resources,--,--,11.42
WR UN Equity,Evergy Kansas Central Inc,--,--,56.75
PDLI UW Equity,PDL BioPharma Inc,--,--,3.35
PRGS UW Equity,Progress Software Corp,--,--,27.2
PE UN Equity,Parsley Energy Inc,--,--,33.51
RGLD UW Equity,Royal Gold Inc,--,--,77.43
HRTG UN Equity,Heritage Insurance Holdings Inc,--,--,14.41
DOFSQ UN Equity,Diamond Offshore Drilling Inc,--,--,17.61
SNPS UW Equity,Synopsys Inc,--,--,59.35
LXK UN Equity,Lexmark International Inc,--,--,39.96
NTAP UW Equity,NetApp Inc,--,--,35.82
ARRS UW Equity,ARRIS International PLC,--,--,28.33
DVA UN Equity,DaVita Inc,--,--,66.07
PTEN UW Equity,Patterson-UTI Energy Inc,--,--,22.37
SCHN UW Equity,Schnitzer Steel Industries Inc,--,--,20.9
HIG UN Equity,Hartford Financial Services Group Inc/Th,--,--,42.82
RS UN Equity,Reliance Steel & Aluminum Co,--,--,72.03
ADTN UW Equity,ADTRAN Inc,--,--,19.14
1518855D US Equity,Yahoo! Inc - Set up for Fundamental Purp,--,--,43.1
ANSS UW Equity,ANSYS Inc,--,--,92.61
PFG UN Equity,Principal Financial Group Inc,--,--,51.51
ATI UN Equity,Allegheny Technologies Inc,--,--,18.07
SRCL UW Equity,Stericycle Inc,--,--,80.14
ETFC UW Equity,E*TRADE Financial Corp,--,--,29.12
ANF UN Equity,Abercrombie & Fitch Co,--,--,15.89
ORA UN Equity,Ormat Technologies Inc,--,--,48.41
NOV UN Equity,NOV Inc,--,--,36.74
AMG UN Equity,Affiliated Managers Group Inc,--,--,144.7
DGX UN Equity,Quest Diagnostics Inc,--,--,84.63
ROK UN Equity,Rockwell Automation Inc,--,--,122.34
JLL UN Equity,Jones Lang LaSalle Inc,--,--,113.79
MSTR UW Equity,MicroStrategy Inc,--,--,167.44
SBSI UW Equity,Southside Bancshares Inc,--,--,32.18
RL UN Equity,Ralph Lauren Corp,--,--,101.14
SBAC UW Equity,SBA Communications Corp,--,--,112.16
SNBC UW Equity,Sun Bancorp Inc/NJ,--,--,23.06
BXP UN Equity,Boston Properties Inc,--,--,136.29
HIL UN Equity,Hill International Inc,--,--,4.61
ON UW Equity,ON Semiconductor Corp,--,--,12.32
PXD UN Equity,Pioneer Natural Resources Co,--,--,185.65
VLO UN Equity,Valero Energy Corp,--,--,53
LLL UN Equity,L3 Technologies Inc,--,--,150.73
MDRX UW Equity,Allscripts Healthcare Solutions Inc,--,--,13.17
PLD UN Equity,Prologis Inc,--,--,53.54
NNA UN Equity,Navios Maritime Acquisition Corp,--,--,1.35
FE UN Equity,FirstEnergy Corp,--,--,33.08
OIS UN Equity,Oil States International Inc,--,--,31.57
BG UN Equity,Bunge Ltd,--,--,59.23
NUAN UW Equity,Nuance Communications Inc,--,--,14.5
PWR UN Equity,Quanta Services Inc,--,--,27.99
ALR UN Equity,Alere Inc,--,--,43.24
AEE UN Equity,Ameren Corp,--,--,49.18
JRVR UW Equity,James River Group Holdings Ltd,--,--,36.2
9998865D UN Equity,Whiting Petroleum Corp,--,--,8.74
HPR UN Equity,HighPoint Resources Corp,--,--,5.56
USMD UR Equity,USMD Holdings Inc,--,--,22.64
CNX UN Equity,CNX Resources Corp,--,--,19.2
CE UN Equity,Celanese Corp,--,--,66.56
AET UN Equity,Aetna Inc,--,--,115.45
KBR UN Equity,KBR Inc,--,--,15.13
RSG UN Equity,Republic Services Inc,--,--,50.45
SXC UN Equity,SunCoke Energy Inc,--,--,8.02
GS UN Equity,Goldman Sachs Group Inc/The,--,--,161.27
HII UN Equity,Huntington Ingalls Industries Inc,--,--,153.42
S UN Equity,Sprint Corp,--,--,6.63
SRE UN Equity,Sempra Energy,--,--,107.19
MCO UN Equity,Moody's Corp,--,--,108.28
AKAM UW Equity,Akamai Technologies Inc,--,--,52.99
QEP UN Equity,QEP Resources Inc,--,--,19.53
RAI UN Equity,Reynolds American Inc,--,--,47.15
SLM UW Equity,SLM Corp,--,--,7.47
DVN UN Equity,Devon Energy Corp,--,--,44.11
PNM UN Equity,PNM Resources Inc,--,--,32.72
A UN Equity,Agilent Technologies Inc,--,--,47.09
ANTM UN Equity,Anthem Inc,--,--,125.31
CSR UN Equity,Centerspace,--,--,5.95
CME UW Equity,CME Group Inc,--,--,104.52
CFR UN Equity,Cullen/Frost Bankers Inc,--,--,71.94
JNPR UN Equity,Juniper Networks Inc,--,--,24.06
BLK UN Equity,BlackRock Inc,--,--,362.46
DTE UN Equity,DTE Energy Co,--,--,93.67
NDAQ UW Equity,Nasdaq Inc,--,--,67.54
PB UN Equity,Prosperity Bancshares Inc,--,--,54.89
PM UN Equity,Philip Morris International Inc,--,--,97.22
LYV UN Equity,Live Nation Entertainment Inc,--,--,27.48
WINMQ UW Equity,Windstream Holdings Inc,--,--,10.05
MET UN Equity,MetLife Inc,--,--,44.43
1856613D UN Equity,Monsanto Co,--,--,102.2
TPR UN Equity,Tapestry Inc,--,--,36.56
FLR UN Equity,Fluor Corp,--,--,51.32
1806854D UN Equity,Dun & Bradstreet Corp/The,--,--,136.62
AMP UN Equity,Ameriprise Financial Inc,--,--,99.77
EBF UN Equity,Ennis Inc,--,--,16.85
XEL UN Equity,Xcel Energy Inc,--,--,41.14
FTI UN Equity,TechnipFMC PLC,--,--,29.67
ZBH UN Equity,Zimmer Biomet Holdings Inc,--,--,130.02
MSGN UN Equity,MSG Networks Inc,--,--,18.61
GME UN Equity,GameStop Corp,--,--,27.59
TPC UN Equity,Tutor Perini Corp,--,--,21.47
ICE UN Equity,Intercontinental Exchange Inc,--,--,269.36
COO UN Equity,Cooper Cos Inc/The,--,--,179.26
FIS UN Equity,Fidelity National Information Services I,--,--,77.03
MAN UN Equity,ManpowerGroup Inc,--,--,72.26
OII UN Equity,Oceaneering International Inc,--,--,27.51
VHI UN Equity,Valhi Inc,--,--,2.3
WYNN UW Equity,Wynn Resorts Ltd,--,--,97.42
VSH UN Equity,Vishay Intertechnology Inc,--,--,14.09
SHLDQ UW Equity,Sears Holdings Corp,--,--,11.46
TECD UW Equity,Tech Data Corp,--,--,84.71
ATR UN Equity,AptarGroup Inc,--,--,77.41
AIZ UN Equity,Assurant Inc,--,--,92.25
LVLT UN Equity,Level 3 Communications Inc,--,--,46.38
NRG UN Equity,NRG Energy Inc,--,--,11.21
GNW UN Equity,Genworth Financial Inc,--,--,4.96
LAZ UN Equity,Lazard Ltd,--,--,36.36
TTNP UR Equity,Titan Pharmaceuticals Inc,--,--,5.88
RF UN Equity,Regions Financial Corp,--,--,9.87
NATL UW Equity,National Interstate Corp,--,--,32.53
SPWR UW Equity,SunPower Corp,--,--,8.92
MOS UN Equity,Mosaic Co/The,--,--,24.46
VPG UN Equity,Vishay Precision Group Inc,--,--,16.03
DISCA UW Equity,Discovery Inc,--,--,26.92
CF UN Equity,CF Industries Holdings Inc,--,--,24.35
VIAB UW Equity,Viacom Inc,--,--,38.1
LDOS UN Equity,Leidos Holdings Inc,--,--,43.28
1539941D UN Equity,Spectra Energy LLC,--,--,42.75
FSLR UW Equity,First Solar Inc,--,--,39.49
MJN UN Equity,Mead Johnson Nutrition Co,--,--,79.01
EXTN UN Equity,Exterran Corp,--,--,15.68
