Ticker,Name,Weight,Shares,Price
SFL UN Equity,SFL Corp Ltd,--,--,14.73
BCRHF UN Equity,Blue Capital Reinsurance Holdings Ltd,--,--,18.32
AA UN Equity,Alcoa Corp,--,--,10.14
AXP UN Equity,American Express Co,--,--,64.04
XBKS UW Equity,Xenith Bankshares Inc,--,--,2.31
VZ UN Equity,Verizon Communications Inc,--,--,51.98
CAT UN Equity,Caterpillar Inc,--,--,88.77
JPM UN Equity,JPMorgan Chase & Co,--,--,66.59
CVX UN Equity,Chevron Corp,--,--,102.92
KO UN Equity,Coca-Cola Co/The,--,--,42.32
TTGT UQ Equity,TechTarget Inc,--,--,8.06
XOM UN Equity,Exxon Mobil Corp,--,--,87.28
GE UN Equity,General Electric Co,--,--,29.62
HPQ UN Equity,HP Inc,--,--,15.53
WPC UN Equity,WP Carey Inc,--,--,64.53
IBM UN Equity,International Business Machines Corp,--,--,158.85
JNJ UN Equity,Johnson & Johnson,--,--,118.13
MRK UN Equity,Merck & Co Inc,--,--,62.41
BAC UN Equity,Bank of America Corp,--,--,15.65
PFE UN Equity,Pfizer Inc,--,--,33.87
PG UN Equity,Procter & Gamble Co/The,--,--,89.75
T UN Equity,AT&T Inc,--,--,40.61
TRV UN Equity,Travelers Cos Inc/The,--,--,114.55
RTX UN Equity,Raytheon Technologies Corp,--,--,101.6
WMT UN Equity,Walmart Inc,--,--,72.12
CSCO UW Equity,Cisco Systems Inc/Delaware,--,--,31.72
INTC UW Equity,Intel Corp,--,--,37.75
FLWS UW Equity,1-800-Flowers.com Inc,--,--,9.17
C UN Equity,Citigroup Inc,--,--,47.23
AIG UN Equity,American International Group Inc,--,--,59.34
IP UN Equity,International Paper Co,--,--,47.98
WNEB UW Equity,Western New England Bancorp Inc,--,--,7.65
LVNTA UW Equity,Liberty Ventures,--,--,39.87
ABT UN Equity,Abbott Laboratories,--,--,42.29
EME UN Equity,EMCOR Group Inc,--,--,59.62
AFL UN Equity,Aflac Inc,--,--,71.87
APD UN Equity,Air Products and Chemicals Inc,--,--,150.34
EPEGQ UN Equity,EP Energy Corp,--,--,4.38
RSPP UN Equity,RSP Permian Inc,--,--,38.78
RGC UN Equity,Regal Entertainment Group,--,--,21.75
AEP UN Equity,American Electric Power Co Inc,--,--,64.21
HES UN Equity,Hess Corp,--,--,53.62
APC UN Equity,Anadarko Petroleum Corp,--,--,63.36
IPGP UW Equity,IPG Photonics Corp,--,--,82.35
9990302D UN Equity,Apache Corp,--,--,63.87
ADM UN Equity,Archer-Daniels-Midland Co,--,--,42.17
AWI UN Equity,Armstrong World Industries Inc,--,--,41.32
VSTO UN Equity,Vista Outdoor Inc,--,--,39.86
QNST UW Equity,QuinStreet Inc,--,--,3.02
AVY UN Equity,Avery Dennison Corp,--,--,77.79
PRGO UN Equity,Perrigo Co PLC,--,--,92.33
AVP UN Equity,Avon Products Inc,--,--,5.66
BHI UN Equity,Baker Hughes Holdings LLC,--,--,50.47
DOC UN Equity,Physicians Realty Trust,--,--,21.54
REXR UN Equity,Rexford Industrial Realty Inc,--,--,22.89
BK UN Equity,Bank of New York Mellon Corp/The,--,--,39.88
BAX UN Equity,Baxter International Inc,--,--,47.6
NGS UN Equity,Natural Gas Services Group Inc,--,--,24.59
GNBC UW Equity,Green Bancorp Inc,--,--,10.93
SALE UW Equity,RetailMeNot Inc,--,--,9.89
BMS UN Equity,Bemis Co Inc,--,--,51.01
BRK/B UN Equity,Berkshire Hathaway Inc,--,--,144.47
BBY UN Equity,Best Buy Co Inc,--,--,38.18
HRB UN Equity,H&R Block Inc,--,--,23.15
